Title,Start,End,Duration,Created by,Description,Where,Calendar
HubOak Champions! Kickstarter Pre-Launch Party & First Friday,04/05/2013 18:00,04/05/2013 21:00,03:00,Lisa Chacon,"We've been working hard on our crowdfunding campaign, and we launch it April 8th!!

This campaign will be as strong as the community that supports us. And YOU - our champions - are the roots of our community. :)

So we'd love for you to join us at our temporary ""popup"" location this Friday (the 5th) for a sneak peek at our Kickstarter video, a launch strategy debriefing, and of course, snacks. 

And then we'll hit the town together afterward for First Friday... have a relaxing weekend... and then MAKE HISTORY on Monday the 8th! 

Let's do this, peeps! We can't do it without you.",1423 Broadway,HUB Oakland Events
Kickstarter Launch Party!,04/08/2013 18:00,04/08/2013 21:00,03:00,Lisa Chacon,"Please come share in the Launch of our crowdfunding Kickstarter campaign and check out our new ""pop-up"" digs in Downtown Oakland! We are ready to turn the Town upside down w/ innovation, but we can't do it w/out you - so Join Us!

On Monday, April 8th from 6:00 - 9:00PM 
You Can:

Mingle & Mix
Meet the Founders
Have a Cocktail
Peep the Floorplan
Munch & Laugh
Find Out More
and Become A Member!

We're JumpingOFF! You coming?

https://www.facebook.com/events/430424350383148/?fref=ts",1423 Broadway,HUB Oakland Events
Money & Life screening,04/11/2013 19:00,04/11/2013 23:00,04:00,Lisa Chacon,Konda Mason will be presenting/moderating.,Parkway Theater,HUB Oakland Events
Women Who Make America - KQED ,04/23/2013 18:30,04/23/2013 21:00,02:30,Lisa Chacon,"Mixer, Film Screening and panel on Women & Business w/ KQED and their doc film, ""Makers."" http://www.makers.com",HubOak,HUB Oakland Events
Gabe Wing - Herman Miller: Integrating Sustainable Design,04/24/2013 16:30,04/24/2013 20:30,04:00,Lisa Chacon,,HubOak,HUB Oakland Events
May Day Hack,05/01/2013 18:00,05/01/2013 21:30,03:30,Lisa Chacon,,TechLiminal,HUB Oakland Events
HO/ROCUnited Food Workers Soiree,05/06/2013 18:00,05/06/2013 21:00,03:00,Lisa Chacon,HO Kickstarter Mixer & Booksigning w/ ROCUnited Co-Founder Saru Jayaraman,"Hub Oakland, 1423 broadway",HUB Oakland Events
FILMMING @ HO,05/15/2013 17:00,05/15/2013 22:00,05:00,Lisa Chacon,,,HUB Oakland Events
 The Institute for Cultural Evolution-HOLD,05/16/2013 17:00,05/16/2013 19:00,02:00,Lisa Chacon,Steve McIntosh talk,Pop-Up,HUB Oakland Events
Institute of Cultural Evolution-Hold,05/22/2013 17:00,05/22/2013 19:00,02:00,Lisa Chacon,Steve McIntosh ,Pop-Up,HUB Oakland Events
Oakland Pride Meeting,05/27/2013 17:00,05/27/2013 22:00,05:00,Lisa Chacon,,,HUB Oakland Events
Stories & Beer: A Fireside Chat with HUB Oakland and 5M Project,05/29/2013 18:30,05/29/2013 20:30,02:00,Lisa Chacon,"Ashara  & Alex Michel chat it up over a cold one!

For details, link here: http://hubberkeleystoriesandbeer2.eventbrite.com","HUB Berkeley - 2150 Allston Way, suite 400 - Berkeley, CA 94704",HUB Oakland Events
Oakland Pride Meeting,06/03/2013 17:00,06/03/2013 22:00,05:00,Lisa Chacon,,,HUB Oakland Events
Jennifer Barrison Event-Marin,06/07/2013 00:00,06/08/2013 00:00,24:00,Lisa Chacon,,,HUB Oakland Events
Assata Teach-In,06/07/2013 18:00,06/07/2013 21:30,03:30,Lisa Chacon,,,HUB Oakland Events
Assata Teach-In,06/07/2013 19:00,06/07/2013 20:30,01:30,Lisa Chacon,,Hub Oakland,HUB Oakland Events
Oakland Pride Meeting,06/10/2013 17:00,06/10/2013 22:00,05:00,Lisa Chacon,,,HUB Oakland Events
Occupy Love @ The New Parkway,06/10/2013 18:30,06/10/2013 20:30,02:00,Lisa Chacon,,,HUB Oakland Events
Oakland Pride Meeting,06/17/2013 17:00,06/17/2013 22:00,05:00,Lisa Chacon,,,HUB Oakland Events
Pachamama - Conversation w/David Korten,06/18/2013 16:30,06/18/2013 18:30,02:00,Lisa Chacon,,,HUB Oakland Events
Oakland Pride Meeting,06/24/2013 17:00,06/24/2013 22:00,05:00,Lisa Chacon,,,HUB Oakland Events
Oakland Pride Meeting,07/01/2013 17:00,07/01/2013 22:00,05:00,Lisa Chacon,,,HUB Oakland Events
(test) new huboak resource cal (creating new entry from my personal 'invited' email),07/05/2013 13:30,07/05/2013 14:30,01:00,Lisa Chacon,test,,Conference Room
(test 2) New event,07/08/2013 13:00,07/08/2013 15:30,02:30,Lisa Chacon,,,Conference Room
Oakland Pride Meeting,07/08/2013 17:00,07/08/2013 22:00,05:00,Lisa Chacon,,,HUB Oakland Events
HO Staff Meeting,07/10/2013 15:00,07/10/2013 17:00,02:00,Lisa Chacon,,,Conference Room
Orientation,07/11/2013 10:00,07/11/2013 11:30,01:30,Lisa Chacon,,,Conference Room
Meet with Michael Leahey,07/11/2013 11:30,07/11/2013 12:00,00:30,Lisa Chacon,Discuss on-going workshops and all day events related to innovation and creativity for social entrepreneurs,Conference room,Conference Room
