Start,Loc,Duration,dtime,Status,Calendar
2015-01-01 00:00:00,,24.0,DAY,CLOSED,HUB Oakland Events
2015-01-01 10:00:00,GALLERY,10.0,DAY,CLOSED,Conference Room
2015-01-02 08:00:00,MERIDIAN,11.0,DAY,,Conference Room
2015-01-02 12:30:00,KITCHEN,1.0,DAY,,HUB Oakland Events
2015-01-02 14:00:00,GALLERY,4.0,DAY,CLOSED,Conference Room
2015-01-04 09:00:00,GALLERY,3.0,DAY,HOLD,Conference Room
2015-01-05 10:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-05 14:00:00,UPTOWN,1.5,DAY,,Conference Room
2015-01-05 15:00:00,MEDITATION,0.5,DAY,,HUB Oakland Events
2015-01-05 16:00:00,UPTOWN,1.0,DAY,,Conference Room
2015-01-05 17:00:00,MERIDIAN,3.0,DAY,,Conference Room
2015-01-05 17:30:00,UPTOWN,1.0,EVENING,,Conference Room
2015-01-06 09:00:00,EAST_OAK,3.0,DAY,,Conference Room
2015-01-06 12:00:00,EAST_OAK,0.5,DAY,,Conference Room
2015-01-06 13:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-06 13:00:00,WEST_OAK,2.0,DAY,,Conference Room
2015-01-06 13:00:00,GALLERY,2.0,DAY,,Conference Room
2015-01-06 13:00:00,UPTOWN,1.0,DAY,,Conference Room
2015-01-06 13:00:00,WEST_OAK,1.0,DAY,,Conference Room
2015-01-06 13:00:00,GALLERY,1.0,DAY,,Conference Room
2015-01-06 15:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-01-06 16:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-06 16:00:00,DOWNTOWN,2.0,DAY,,Conference Room
2015-01-06 16:00:00,UPTOWN,1.5,DAY,,Conference Room
2015-01-06 16:00:00,DOWNTOWN,1.5,DAY,,Conference Room
2015-01-06 18:30:00,GALLERY,1.5,EVENING,,Conference Room
2015-01-07 09:30:00,UPTOWN,3.5,DAY,,Conference Room
2015-01-07 11:00:00,MERIDIAN,2.0,DAY,,Conference Room
2015-01-07 13:00:00,MERIDIAN,4.0,DAY,,Conference Room
2015-01-07 14:15:00,EAST_OAK,1.5,DAY,,Conference Room
2015-01-07 14:30:00,EAST_OAK,2.0,DAY,,Conference Room
2015-01-07 17:30:00,GALLERY,1.75,EVENING,,Conference Room
2015-01-07 18:00:00,EAST_OAK,1.5,EVENING,,Conference Room
2015-01-08 09:00:00,GALLERY,3.0,DAY,,Conference Room
2015-01-08 10:00:00,EAST_OAK,7.0,DAY,,Conference Room
2015-01-08 12:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-08 13:00:00,DOWNTOWN,3.0,DAY,,Conference Room
2015-01-09 08:00:00,UPTOWN,11.0,DAY,,Conference Room
2015-01-09 08:00:00,MERIDIAN,11.0,DAY,,Conference Room
2015-01-09 09:00:00,GALLERY,7.0,DAY,,Conference Room
2015-01-09 10:00:00,MERIDIAN,7.0,DAY,,Conference Room
2015-01-09 10:00:00,EAST_OAK,7.0,DAY,,Conference Room
2015-01-09 10:00:00,MERIDIAN,1.25,DAY,,Conference Room
2015-01-09 10:00:00,EAST_OAK,1.25,DAY,,Conference Room
2015-01-09 11:15:00,EAST_OAK,1.25,DAY,,Conference Room
2015-01-09 12:30:00,KITCHEN,1.0,DAY,,HUB Oakland Events
2015-01-09 13:30:00,EAST_OAK,1.0,DAY,,Conference Room
2015-01-09 16:00:00,EAST_OAK,1.0,DAY,,Conference Room
2015-01-09 17:30:00,MERIDIAN,5.0,EVENING,,Conference Room
2015-01-09 19:00:00,BROADWAY,3.0,EVENING,,HUB Oakland Events
2015-01-09 19:00:00,GALLERY,3.0,EVENING,,HUB Oakland Events
2015-01-09 19:00:00,BROADWAY,3.0,EVENING,,Conference Room
2015-01-09 19:00:00,GALLERY,3.0,EVENING,,Conference Room
2015-01-10 08:30:00,GALLERY,9.0,DAY,,Conference Room
2015-01-10 08:30:00,MERIDIAN,9.0,DAY,,Conference Room
2015-01-10 10:00:00,MERIDIAN,7.0,DAY,,Conference Room
2015-01-10 11:00:00,BROADWAY,6.5,DAY,,HUB Oakland Events
2015-01-11 10:00:00,MERIDIAN,7.0,DAY,,Conference Room
2015-01-12 10:00:00,GALLERY,2.0,DAY,,Conference Room
2015-01-12 11:00:00,UPTOWN,5.0,DAY,,Conference Room
2015-01-12 11:00:00,MERIDIAN,5.0,DAY,,Conference Room
2015-01-12 11:00:00,EAST_OAK,5.0,DAY,,Conference Room
2015-01-12 11:00:00,UPTOWN,1.0,DAY,,Conference Room
2015-01-12 11:00:00,MERIDIAN,1.0,DAY,,Conference Room
